"","Protocol","Source","Destination","n"
"1","TCP","10.0.2.15","173.194.44.20",132
"2","TCP","10.0.2.15","173.194.44.63",34
"3","TCP","173.194.44.20","10.0.2.15",33
"4","TCP","10.0.2.15","173.194.221.196",27
"5","TCP","173.194.32.205","10.0.2.15",18
"6","TCP","173.194.44.63","10.0.2.15",15
"7","TCP","10.0.2.15","2.23.167.51",11
"8","TCP","2.23.167.51","10.0.2.15",10
"9","TCP","10.0.2.15","173.194.222.95",9
"10","TCP","10.0.2.15","173.194.32.205",9
"11","TCP","173.194.44.90","10.0.2.15",9
"12","TCP","173.194.222.95","10.0.2.15",8
"13","TCP","10.0.2.15","173.194.44.23",7
"14","TCP","10.0.2.15","173.194.44.31",7
"15","TCP","173.194.221.196","10.0.2.15",7
"16","TCP","173.194.44.23","10.0.2.15",6
"17","TCP","173.194.44.31","10.0.2.15",6
"18","TCP","10.0.2.15","173.194.44.90",5
"19","TCP","10.0.2.15","74.125.232.184",5
"20","TCP","74.125.232.184","10.0.2.15",5
